Metric Name,Prompt,Value,Elapsed Time
CPU Energy (J),yo,19.848067932128906,3.1502692699432373
CPU Energy (J),hi,13.733874389648436,1.277332067489624
GPU Energy (J),yo,159.32334833145143,3.1502692699432373
GPU Energy (J),hi,66.52856340312958,1.277332067489624
RAM Energy (J),yo,20.437245346589375,3.1502692699432373
RAM Energy (J),hi,8.348623783909483,1.277332067489624
Total Energy (J),yo,199.60866161016972,3.1502692699432373
Total Energy (J),hi,88.6110615766875,1.277332067489624
Carbon Emissions (gCO2),yo,0.020792568917726014,3.1502692699432373
Carbon Emissions (gCO2),hi,0.009230318914238282,1.277332067489624
